site_name,url,bias_rating,factual_reporting_rating
Conservative Institute,conservativeinstitute.org,22,HIGH
Conservative Outfitters,conservativeoutfitters.com/blogs/news,28,MIXED
Conservative Review,conservativereview.com,24,MIXED
Conservative Today,conservativetoday.com,30,MIXED
ConservativeOpinion.com,conservativeopinion.com,28,MIXED
Conservatives Here,conservativeshere.com,30,MIXED
Consortium News,consortiumnews.com,-5,HIGH
Constitution Daily,constitutioncenter.org,1,HIGH
Constitution Project,constitutionproject.org,1,HIGH
Consumer Reports,consumerreports.org,-1,HIGH
Consumerist,consumerist.com,-3,HIGH
Content News,content.news,-27,MIXED
Controversial Times,controversialtimes.com,30,MIXED
Cook Political Report,cookpolitical.com,-2,HIGH
Corporate Presidency,corporatepresidency.org,-15,HIGH
Cosmopolitan,cosmopolitan.com,-26,HIGH
Council for the National Interest,councilforthenationalinterest.org,-14,HIGH
Council on Foreign Relations,cfr.org,9,HIGH
Countable News,blog.countable.us,-4,HIGH
CounterCurrents.org,countercurrents.org,-22,HIGH
CounterPunch,counterpunch.org,-22,HIGH
Courthouse News Service,courthousenews.com,-1,HIGH
Cowger Nation,cowgernation.com,30,MIXED
CP24,cp24.com,-3,HIGH
Credo Action,credoaction.com,-14,HIGH
Crime Prevention Research Center,crimeresearch.org,28,MIXED
Crimeola,crimeola.com,-1,HIGH
CrimethInc,crimethinc.com,-22,HIGH
Crisis Magazine,crisismagazine.com,27,MIXED
Crooked Media,crooked.com,-23,HIGH
Crooks and Liars,crooksandliars.com,-28,MIXED
Crosscut.com,crosscut.com,-13,HIGH
CSC Mediagroup USA,cscmediagroupus.com,30,HIGH
CTV News,ctvnews.ca,-14,HIGH
Current Affairs Magazine,currentaffairs.org,-21,HIGH
Curve Magazine,curvemag.com,-18,HIGH
Daily 49er,daily49er.com,-19,HIGH
Daily Beast,thedailybeast.com,-23,HIGH
Daily Business Review,dailybusinessreview.com,2,HIGH
Daily Caller,dailycaller.com,26,MIXED
Daily Dems,dailydems.com,-29,MIXED
Daily Dot,dailydot.com,-19,HIGH
Daily Express,express.co.uk,23,MIXED
Daily Herald,dailyherald.com,8,HIGH
Daily Hive,dailyhive.com,-9,HIGH
Daily Journal (Illinois),daily-journal.com,1,HIGH
Daily Journal (Missouri),dailyjournalonline.com,-3,HIGH
Daily Kos,dailykos.com,-27,MIXED
Daily Mail,dailymail.co.uk/ushome/index.html,24,MIXED
Daily Mirror,mirror.co.uk,-23,MIXED
Daily News Bin,dailynewsbin.com,-28,MIXED
Daily Press,dailypress.com,7,HIGH
Daily Record (Scotland),dailyrecord.co.uk,-22,MIXED
Daily Record,dailyrecord.com,-4,HIGH
Daily Sabah,dailysabah.com,22,MIXED
Daily Signal,dailysignal.com,29,MIXED
Daily Surge,dailysurge.com,28,MIXED
Daily Telegraph,telegraph.co.uk,11,HIGH
Dallas Morning News,dallasnews.com,12,HIGH
Dallas Voice,dallasvoice.com,-23,HIGH
Dangerous,dangerous.com,30,MIXED
Darien Times,darientimes.com,-2,HIGH
Dawn,dawn.com,-12,HIGH
Dayton Daily News,daytondailynews.com,-5,HIGH
DC Statesman,dcstatesman.com,29,MIXED
DC Tribune,dctribune.org,-29,MIXED
DC Whispers,dcwhispers.com,29,MIXED
DCReport.org,dcreport.org,-17,HIGH
de Volkskrant,volkskrant.nl,9,HIGH
Dead State,deadstate.org,-24,HIGH
Deadline Hollywood,deadline.com,-15,HIGH
Deadspin,deadspin.com,-22,HIGH
DeathandTaxes,deathandtaxesmag.com,-22,HIGH
Debate Post,debatepost.com,19,HIGH
Deccan Chronicle,deccanchronicle.com,14,HIGH
Deccan Herald,deccanherald.com,-13,MIXED
Deep Left Field,deepleftfield.info,-29,MIXED
DeepStateNation.com,deepstatenation.com,-27,MIXED
Defense One,defenseone.com,0,HIGH
Delaware Online – The News Journal,delawareonline.com,-9,HIGH
